config	method	variant	label	run_dir	result_file	notes
counter_circuit_full_obs_64env_16mb_10M	ppo	cnn_standard	ppo_cnn_standard_64_16	runs/figure4_standard/20260403-114253_lhan2u0o_counter_circuit_avs-full	reward_summary_cross.csv	confirmed via PPO CNN default config 64/16
counter_circuit_full_obs_64env_16mb_10M	ppo	cnn_state_aug	ppo_cnn_state_aug_64_16	runs/figure4_state_aug/20260403-120112_f9p8h3cq_counter_circuit_avs-full	reward_summary_cross.csv	confirmed via PPO CNN default config 64/16 + NUM_ITERATIONS=10
counter_circuit_full_obs_64env_16mb_10M	mappo	rnn_standard	mappo_rnn_standard_64_16	runs/figure4_mappo_ippo_budget_match_multigpu/20260404-023250_plvdnkh1_counter_circuit_avs-full	reward_summary_cross.csv	confirmed from wandb plvdnkh1: TYPE=RNN NUM_ENVS=64 NUM_MINIBATCHES=16
counter_circuit_full_obs_64env_16mb_10M	mappo	rnn_state_aug	mappo_rnn_state_aug_64_16	runs/figure4_mappo_state_aug_ippo_budget_match_multigpu/20260404-093657_hktgsy82_counter_circuit_avs-full	reward_summary_cross.csv	confirmed from wandb hktgsy82: TYPE=RNN NUM_ENVS=64 NUM_MINIBATCHES=16 NUM_ITERATIONS=10
counter_circuit_full_obs_64env_16mb_10M	ttappo	v1_no_adapt	ttappo_v1_no_adapt_64_16	runs/figure4_ttappo_cnn_full_true10_a40x2/20260409-135002_yz5ho4c9_counter_circuit_avs-full	reward_summary_cross_no_adapt.csv	legacy fast-config TTAPPO v1
counter_circuit_full_obs_64env_16mb_10M	ttappo	v1_ce_only	ttappo_v1_ce_only_64_16	runs/figure4_ttappo_cnn_full_true10_a40x2/20260409-135002_yz5ho4c9_counter_circuit_avs-full	reward_summary_cross_ce_only.csv	legacy fast-config TTAPPO v1
counter_circuit_full_obs_64env_16mb_10M	ttappo	v1_full	ttappo_v1_full_64_16	runs/figure4_ttappo_cnn_full_true10_a40x2/20260409-135002_yz5ho4c9_counter_circuit_avs-full	reward_summary_cross_full.csv	legacy fast-config TTAPPO v1
counter_circuit_full_obs_64env_16mb_10M	ttappo	v2_temporal_no_adapt	ttappo_v2_temporal_no_adapt_64_16	runs/figure4_ttappo_v2_temporal_20260409-180552/20260409-192153_sw6lrhes_counter_circuit_avs-full	reward_summary_cross_no_adapt.csv	legacy fast-config TTAPPO v2 temporal
counter_circuit_full_obs_64env_16mb_10M	ttappo	v2_temporal_ce_only	ttappo_v2_temporal_ce_only_64_16	runs/figure4_ttappo_v2_temporal_20260409-180552/20260409-192153_sw6lrhes_counter_circuit_avs-full	reward_summary_cross_ce_only.csv	legacy fast-config TTAPPO v2 temporal online adaptation failed
counter_circuit_full_obs_64env_16mb_10M	ttappo	v2_temporal_gated	ttappo_v2_temporal_gated_64_16	runs/figure4_ttappo_v2_temporal_20260409-180552/20260409-192153_sw6lrhes_counter_circuit_avs-full	reward_summary_cross_gated.csv	legacy fast-config TTAPPO v2 temporal online adaptation failed
counter_circuit_full_obs_64env_16mb_10M	ttappo	v2_temporal_no_adapt_repeat_seed42	ttappo_v2_temporal_no_adapt_r1_seed42	runs/figure4_ttappo_v2_noadapt_repeat_20260409-223756_r1/20260409-223809_smkh3gfq_counter_circuit_avs-full	reward_summary_cross_no_adapt.csv	base seed 42 repeat
counter_circuit_full_obs_64env_16mb_10M	ttappo	v2_temporal_no_adapt_repeat_seed43	ttappo_v2_temporal_no_adapt_r2_seed43	runs/figure4_ttappo_v2_noadapt_repeat_20260409-223756_r2/20260410-004754_hs3y18x8_counter_circuit_avs-full	reward_summary_cross_no_adapt.csv	base seed 43 repeat
counter_circuit_full_obs_64env_16mb_10M	ttappo	v2_temporal_no_adapt_repeat_seed44	ttappo_v2_temporal_no_adapt_r3_seed44	runs/figure4_ttappo_v2_noadapt_repeat_20260409-223756_r3/20260410-025530_c2j5a74c_counter_circuit_avs-full	reward_summary_cross_no_adapt.csv	base seed 44 repeat
counter_circuit_full_obs_128env_32mb_30M	ppo	cnn_no_state	ppo_cnn_no_state_128_32	runs/figure4_128_32_no_state_aug_full_obs_ppo_cnn_no_state_aug_full_obs_20260502-12832-no-sa-full-after-current/20260502-033934_x6oni3d1_counter_circuit_avs-full	reward_summary_cross.csv	controlled 128/32 no-state full obs
counter_circuit_full_obs_128env_32mb_30M	ppo	rnn_no_state	ppo_rnn_no_state_128_32	runs/figure4_128_32_no_state_aug_full_obs_ppo_rnn_no_state_aug_full_obs_20260502-12832-no-sa-full-after-current/20260502-040709_y51qiza2_counter_circuit_avs-full	reward_summary_cross.csv	controlled 128/32 no-state full obs
